iter	Passed	Remaining
0	0	70
1	1	68
2	2	65
3	2	60
4	3	59
5	3	57
6	4	56
7	4	56
8	5	55
9	6	57
10	7	57
11	7	57
12	8	57
13	9	57
14	10	57
15	10	57
16	11	56
17	12	56
18	13	55
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	52
25	17	51
26	18	50
27	19	49
28	20	49
29	21	49
30	21	48
31	22	47
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	52	16
76	53	16
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
